唉	āi	uh (sigh)
爱护	ài hù	to cherish, to take good care of
爱惜	ài xī	to cherish, to treasure
爱心	ài xīn	tender feelings; affections
岸	àn	shore, beach, coast
安慰	ān wèi	comfort, consolation, to comfort, to console
安装	ān zhuāng	installation, to install, to mount
把握	bǎ wò	assurance, to grasp, to hold
摆	bǎi	pendulum, to put, to place, to arragne
办理	bàn lǐ	to handle, to conduct
班主任	bān zhǔ rèn	teacher in charge of a class
棒	bàng	stick, club, strong, capable, good Measure, for legs of relay race
傍晚	bàng wǎn	towards evening, at nightfall
薄	báo	thin
宝贝	bǎo bèi	darling, baby
保持	bǎo chí	to keep, to maintain, to preserve
保存	bǎo cún	to conserve, to keep, to save (IT)
报告	bào gào	report, speech, talk, to report
宝贵	bǎo guì	valuable, precious
包裹	bāo guǒ	parcel, package, to wrap up
包含	bāo hán	to contain, to emobdy, to include
保留	bǎo liú	reservation, to reserve, to hold back
保险	bǎo xiǎn	insurance, to insure, safe, secure
包子	bāo zi	steamed stuffed bun
背	bèi	back, to learn by heart
悲观	bēi guān	pessimistic
背景	bèi jǐng	background, context
被子	bèi zi	quilt
本科	běn kē	Bachelor course
本领	běn lǐng	skill, ability, capability
本质	běn zhì	essence, nature
彼此	bǐ cǐ	each other, one another
毕竟	bì jìng	after all, in the end
比例	bǐ lì	proportion, scale
避免	bì miǎn	to avoid, to prevent
必然	bì rán	inevitable, certain
比如	bǐ rú	for example
必需	bì xū	to really need, to be essential, must
必要	bì yào	necessary, essential
便	biàn	to relieve oneself, convenient, handy, then, in that case
编辑	biān jí	editor, compiler, to edit, to compile
辩论	biàn lùn	debate, argument, to debate, to argue
鞭炮	biān pào	firecrackers
标点	biāo diǎn	punctuation, punctuation mark
表面	biǎo miàn	surface, outside, appearance
表明	biǎo míng	to show, to indicate, to make clear
表情	biǎo qíng	expression
表现	biǎo xiàn	to show, to express, to display
标志	biāo zhì	symbol, sign, to symbolize, to indicate
丙	bǐng	third(ly)
病毒	bìng dú	virus
玻璃	bō li	glass
博物馆	bó wù guǎn	museum
脖子	bó zi	neck
布	bù	cloth
不安	bù ān	disturbed, uneasy
不必	bú bì	does not have to
补充	bǔ chōng	supplement, to supplement, to complement, additional, supplementary
不得了	bù dé liǎo	disastrous, terrible, extremely, terribly
不断	bú duàn	continuous, unceasing
不好意思	bù hǎo yì si	to feel embarrassed, excuse me, sorry
不见得	bú jiàn dé	not necessarily, not likely
部门	bù mén	department, branch
不免	bù miǎn	inevitably
不耐烦	bú nài fán	impatience, impatient
不然	bù rán	otherwise
不如	bù rú	not as good as
不要紧	bú yào jǐn	it doesn't matter, never mind
步骤	bù zhòu	step, move, measure
不足	bù zú	shortcomings, insufficient, not enough
踩	cǎi	to stamp on, to step, to press a pedal
财产	cái chǎn	property, possession
采访	cǎi fǎng	to interview, to gather news
彩虹	cǎi hóng	rainbow
采取	cǎi qǔ	to carry out, to adopt, to take
残疾	cán jí	disability, deformity, disabled, handicapped
参考	cān kǎo	consultation, reference, to consult, to refer to
惭愧	cán kuì	ashamed
餐厅	cān tīng	restaurant
参与	cān yù	to participate in, to attach oneself to
操场	cāo chǎng	playground, sports field
操心	cāo xīn	to worry about, to take pains
册	cè	book, booklet Measure, for books
厕所	cè suǒ	toilet
测验	cè yàn	test, examination, to test
曾经	céng jīng	once, former, previously
插	chā	to insert, to stick in
差别	chā bié	difference
叉子	chā zi	fork
拆	chāi	open, tear down
产品	chǎn pǐn	product, goods
产生	chǎn shēng	to produce, to come about
常识	cháng shí	common sense, general knowledge
长途	cháng tú	long distance
朝	cháo	dynasty, imperial or royal court, towards, facing
炒	chǎo	to fry
抄	chāo	to copy, to plagiarize
朝代	cháo dài	dynasty
吵架	chǎo jià	quarrel, to quarrel
彻底	chè dǐ	thorough
车库	chē kù	garage
车厢	chē xiāng	carriage
趁	chèn	to take advantage of
沉默	chén mò	silence, hush, to keep silent, silent, uncommunicative
乘	chéng	to ride on, to multiply
称	chēng	to weigh, to name, to state
承担	chéng dān	to undertake, to shoulder, to take (responsibility, etc.)
程度	chéng dù	degree, extent, level
成分	chéng fèn	ingredient, component
成果	chéng guǒ	result, achievement, gain
称呼	chēng hu	name, term of address, to address sb., to call sb. (a name)
成就	chéng jiù	accomplishment, achievement
诚恳	chéng kěn	sincere, honest
成立	chéng lì	to establish, to set up, to found
承认	chéng rèn	recognition, to admit, to recognize, to acknowledge
承受	chéng shòu	to bear, to endure, to receive
程序	chéng xù	procedure, process, program (IT)
成语	chéng yǔ	idiom, proverb
称赞	chēng zàn	to praise, to acclaim, to commend
成长	chéng zhǎng	to grow up, to mature
翅膀	chì bǎng	wing
吃亏	chī kuī	to suffer losses, to lose out
持续	chí xù	to continue, to persist
池子	chí zi	pond
尺子	chǐ zi	ruler
冲	chōng	to flush, to head for
充电器	chōng diàn qì	battery charger
充分	chōng fèn	ample, full, abundant
重复	chóng fù	to repeat, to duplicate
充满	chōng mǎn	brimming with, full of
宠物	chǒng wù	pet
臭	chòu	smelly
丑	chǒu	clown, ugly, bad-looking
抽屉	chōu ti	drawer
抽象	chōu xiàng	abstract
除	chú	to divide, to exclude, except for
出版	chū bǎn	to publish
除非	chú fēi	only if, unless
初级	chū jí	primary, elementary
出口	chū kǒu	exit, export
处理	chǔ lǐ	to deal with, to handle, to cope with
出色	chū sè	outstanding, remarkable
除夕	chú xī	New Year's Eve
出席	chū xí	to attend, to be present
传播	chuán bō	to spread, to propagate, to disseminate
传递	chuán dì	to pass on to, to transfer
传染	chuán rǎn	to infect, to be contagious
传说	chuán shuō	legend, folklore, it is said, that...
传统	chuán tǒng	tradition, traditional
闯	chuǎng	to rush, to break through, to charge
窗帘	chuāng lián	window curtains
创造	chuàng zào	creation, to create, to produce
吹	chuī	to blow, to boast, to fail
磁带	cí dài	magnetic tape
刺激	cì jī	stimulus, provocation, to provoke, to stimulate, to excite
此外	cǐ wài	besides, moreover
次要	cì yào	secondary, subordinate
辞职	cí zhí	to resign
从此	cóng cǐ	from now on
从而	cóng ér	thus, thereby
匆忙	cōng máng	hasty, hurried
从前	cóng qián	previously, formerly
从事	cóng shì	to engage in, to do (formal)
醋	cù	vinegar
促进	cù jìn	to promote, to advance
促使	cù shǐ	to urge, to push, to promote
催	cuī	to urge, to press
存	cún	to deposit, to keep
存在	cún zài	to exist
措施	cuò shī	measure, step
错误	cuò wù	error, mistake
达到	dá dào	to achieve, to reach, to attain
大方	dà fang	generous, of good taste
打工	dǎ gōng	a part time job, to work (temporary or casual)
打交道	dǎ jiāo dao	have dealings with
打喷嚏	dǎ pēn tì	to sneeze
打听	dǎ ting	to ask about, to inquire about, to nose into
大象	dà xiàng	elephant
大型	dà xíng	large-scale
答应	dā ying	to agree, to promise, to respond
打招呼	dǎ zhāo hu	to greet sbd., to give prior notice
呆	dāi	to stay, dull, foolish, stupid
贷款	dài kuǎn	loan, to provide a loan
待遇	dài yù	treatment, pay, salary
淡	dàn	mild, (rather) tasteless, light in color
单纯	dān chún	pure, simple
单调	dān diào	monotonous, dull
单独	dān dú	alone, solo
担任	dān rèn	to hold the post of, to serve as
单位	dān wèi	unit
耽误	dān wu	to delay
胆小鬼	dǎn xiǎo guǐ	coward
单元	dān yuán	unit, cell, entrance number
挡	dǎng	to block, to hinder, to obstruct
当代	dāng dài	present, nowadays
倒	dào	to pour, to reverse, on the contrary, instead
岛	dǎo	island
到达	dào dá	to arrive, to reach
道德	dào dé	morality, ethics
道理	dào lǐ	principle, reason, argument
倒霉	dǎo méi	to have bad luck
导演	dǎo yǎn	director (film, etc.), to direct
导致	dǎo zhì	to lead to, to create, to bring about
等待	děng dài	to wait for, to await
等候	děng hòu	to wait
登记	dēng jì	to register
登机牌	dēng jī pái	boarding pass
等于	děng yú	to equal, to amount to
递	dì	to pass, to hand over
滴	dī	to drip, to drop Measure, for a drop
地道	dì dao	authentic, genuine, real
地理	dì lǐ	geography
地区	dì qū	region, district, area
的确	dí què	really, indeed
敌人	dí rén	enemy
地毯	dì tǎn	carpet
地位	dì wèi	position, status
地震	dì zhèn	earthquake
电池	diàn chí	battery, electric cell
电台	diàn tái	broadcasting station, radio station
点头	diǎn tóu	to nod
点心	diǎn xin	light refreshments, Dimsum (Cantonese)
钓	diào	to fish
顶	dǐng	top, roof, to carry on the head, most, extremely, highly Measure, for caps, hats, tents, etc.
丁	dīng	fourth
冻	dòng	jelly, to freeze, to feel very cold
洞	dòng	cave, hole
动画片	dòng huà piàn	cartoon, animation
逗	dòu	to stay, to pause, to tease
豆腐	dòu fu	tofu
度过	dù guò	to spend, to pass
独立	dú lì	independence, to stand alone, independent
独特	dú tè	unique, distinct
短信	duǎn xìn	text message
堆	duī	pile, stack, heap Measure, for piles of things
对比	duì bǐ	contrast, comparison, to contrast, to compare
对待	duì dài	treatment, to treat, to approach
对方	duì fāng	counterpart, the other side
对手	duì shǒu	opponent, rival
对象	duì xiàng	lover, partner, target, object
对于	duì yú	regarding, as far as sth. is concerned
吨	dūn	Measure, for a ton
蹲	dūn	to squat
躲藏	duǒ cáng	to hide oneself
多亏	duō kuī	luckily, thanks to
多余	duō yú	unnecessary, surplus, needless
恶劣	è liè	very bad, vile, disgusting
发表	fā biǎo	to issue, to publish
发愁	fā chóu	to worry, to be anxious
发达	fā dá	to develop, developed (country, etc.)
发抖	fā dǒu	to shiver, to shudder, to tremble
发挥	fā huī	to develop (skill, ability, idea, etc.), to give play to
罚款	fá kuǎn	fine, penalty, to fine
发明	fā míng	invention, to invent
发票	fā piào	invoice, receipt
发言	fā yán	statement, to speak, to make a speech
法院	fǎ yuàn	court of law, court
翻	fān	to turn over, to flip over
反而	fǎn ér	instead, on the contrary
反复	fǎn fù	repeatedly
繁荣	fán róng	flourishing, prosperous, booming
凡是	fán shì	every, any, all
反应	fǎn yìng	reaction, response, to react, to respond
反正	fǎn zhèng	anyway, whatever happens
方	fāng	square, direction, side Measure, for square things
妨碍	fáng ài	to hinder, to obstruct
方案	fāng àn	plan, program, scheme
房东	fáng dōng	landlord
仿佛	fǎng fú	to seem as if
方式	fāng shì	way, pattern, manner
放松	fàng sōng	to relax, to loosen
肺	fèi	lung
非	fēi	wrong, mistaken, not, non-, un-
废话	fèi huà	nonsense, useless statement
费用	fèi yong	expenses, cost
肥皂	féi zào	soap
分别	fēn bié	difference, to leave each other, to distinguish, separate
分布	fēn bù	to distribute, to be distributed
奋斗	fèn dòu	to fight for, to strive for
纷纷	fēn fēn	one after another
愤怒	fèn nù	angry
分配	fēn pèi	to assign, to allocate
分析	fēn xī	analysis, to analyze
讽刺	fěng cì	irony, sarcasm, to mock
风格	fēng gé	style
疯狂	fēng kuáng	madness, crazy, mad
风俗	fēng sú	(social) custom
风险	fēng xiǎn	risk,l venture
否定	fǒu dìng	negation, to negate, to deny
否认	fǒu rèn	to deny
幅	fú	Measure, for pictures, paintings, textiles, etc.
扶	fú	to help (sb. up)
服从	fú cóng	to obey, to submit
辅导	fǔ dǎo	coaching, to tutor, to coach
付款	fù kuǎn	payment, to pay
妇女	fù nǚ	woman
复制	fù zhì	to copy, to reproduce
服装	fú zhuāng	clothing, dress
盖	gài	cover, to cover
改革	gǎi gé	reform, to reform
改进	gǎi jìn	improvement, to improve
概括	gài kuò	summary, to summarize; to generalize
概念	gài niàn	concept, idea
改善	gǎi shàn	improvement, to improve
改正	gǎi zhèng	correction, to correct, to amend
干脆	gān cuì	clear-cut, straightforward, simply, you might as well
干活儿	gàn huó r	to work (often hard, manual work)
感激	gǎn jī	to feel grateful, to be thankful
赶紧	gǎn jǐn	at once, losing no time
赶快	gǎn kuài	at once, immediately
感受	gǎn shòu	feeling, perception, to sense, to feel
感想	gǎn xiǎng	impressions, reflections
钢铁	gāng tiě	steel
搞	gǎo	to do, to make
告别	gào bié	to leave, to say good-bye to
高档	gāo dàng	top grade
高速公路	gāo sù gōng lù	highway
隔壁	gé bì	next door
个别	gè bié	exceptional, very few, individual
胳膊	gē bo	arm
革命	gé mìng	revolution
个人	gè rén	individual, individual
格外	gé wài	especially, particularly
个性	gè xìng	personality, character
鸽子	gē zi	pigeon
各自	gè zì	each, respective
根	gēn	root, origin Measure, for long, slender objects
根本	gēn běn	foundation, root, fundamental, simply, basic
更加	gèng jiā	more, even more
公布	gōng bù	to announce, to make public
工厂	gōng chǎng	factory
工程师	gōng chéng shī	engineer
功夫	gōng fu	time, skill, labor, workmanship, kung fu
