挨	ái	to endure, to suffer
爱不释手	ài bù shì shǒu	not wanting to give sth. out of one's hand, to fondle admiringly
爱戴	ài dài	to love and respect
暧昧	ài mèi	ambiguous, equivocal, dubious
哎哟	āi yō	ow, ouch, ah
癌症	ái zhèng	cancer
案件	àn jiàn	legal case, case
安居乐业	ān jū lè yè	to live in peace and work happily
案例	àn lì	case (law)
按摩	àn mó	massage, to massage
安宁	ān níng	peace, peaceful, tranquil
暗示	àn shì	hint, suggestion, to hint, to suggest
安详	ān xiáng	composed, serene
安置	ān zhì	to find a place for, to arrange for
昂贵	áng guì	expensive, costly
熬	áo	to endure, to suffer, to boil for a long time
奥秘	ào mì	mystery, secret
凹凸	āo tū	bumpy, uneven
扒	bā	to hold on to, to climb, to strip off
疤	bā	scar
巴不得	bā bu de	to be eager to, to look forward to
霸道	bà dào	to rule by might, overbearing, dictatorial, arbitrary
罢工	bà gōng	strike, to go on strike
把关	bǎ guān	to check on, to guard a pass
巴结	bā jie	to flatter, to fawn
拔苗助长	bá miáo zhù zhǎng	to spoil things through a wish for quick results
把手	bǎ shou	handle, knob
把戏	bǎ xì	acrobatics, cheap trick, jugglery
掰	bāi	to break with both hands
拜访	bài fǎng	to pay a visit, to call on
百分点	bǎi fēn diǎn	percentage point
败坏	bài huài	to ruin, to corrupt, to undermine
拜年	bài nián	to wish a Happy New Year
摆脱	bǎi tuō	to get rid of, to break out of, to free oneself from
拜托	bài tuō	Please!
版本	bǎn běn	version, release
颁布	bān bù	to issue, to promulgate
颁发	bān fā	to award, to issue
伴侣	bàn lǚ	partner, mate
伴随	bàn suí	to accompany, to follow
半途而废	bàn tú ér fèi	to give up halfway
斑纹	bān wén	stripe, streak, maculation
扮演	bàn yǎn	to play the role of, to act
磅	bàng	Measure, for pound
绑架	bǎng jià	kidnapping, to kidnap
榜样	bǎng yàng	example, model
包庇	bāo bì	to shield, to cover up
报仇	bào chóu	revenge, to revenge, to avenge
报酬	bào chou	reward, pay, remuneration
报答	bào dá	to pay back, to repay
报到	bào dào	to check in, to register, to report for duty
爆发	bào fā	to erupt, to break out, to explode
报复	bào fù	revenge, retaliation, to revenge, to retaliate
抱负	bào fù	ambition, aspiration
包袱	bāo fu	burden, load
保管	bǎo guǎn	to keep, to take care of
曝光	bào guāng	exposure (photo), to expose (photo, scandal, etc.)
饱和	bǎo hé	saturation, saturated
饱经沧桑	bǎo jīng cāng sāng	having lived through a lot of painful changes
暴力	bào lì	violence
暴露	bào lù	to expose, to reveal
保密	bǎo mì	to keep sth. confidential, to maintain secrecy
保姆	bǎo mǔ	nanny, housekeeper
报社	bào shè	newspaper office
保守	bǎo shǒu	to guard, to keep, conservative
包围	bāo wéi	to surround, to encircle
保卫	bǎo wèi	to defend, to safeguard
报销	bào xiāo	write-off, wipe out, apply for reimbursement
保养	bǎo yǎng	maintenance, to maintain, to take care of one's health
抱怨	bào yuàn	to complain, to grumble
爆炸	bào zhà	explosion, to explode, to blow up
保障	bǎo zhàng	to ensure, to guarantee
保重	bǎo zhòng	to take care of oneself
包装	bāo zhuāng	package, to pack
悲哀	bēi āi	grieved, sorrowful
卑鄙	bēi bǐ	mean, despicable
悲惨	bēi cǎn	tragic, miserable
被动	bèi dòng	passive
备份	bèi fèn	backup
被告	bèi gào	defendant
北极	běi jí	North Pole
贝壳	bèi ké	shell
背叛	bèi pàn	to betray
背诵	bèi sòng	to recite, to repeat from memory
备忘录	bèi wàng lù	memo, written reminder
奔波	bēn bō	to rush about
奔驰	bēn chí	to run quickly, to move fast
